probe	fraction	variant	indexer	envelope	policy	buckets	status	max_total_num_tokens	bs_cap_4608	table_GB	ready_GB	graph_capture	smoke	note
bnd_fp16_on_rs_075	0.75	fp16	on	rs	fail_closed	4608	OK	276416	59	10.28	19.64	yes	OK:Paris. The city is located on the River 	-
bnd_fp16_off_rs_075	0.75	fp16	off	rs	fail_closed	4608	OK	339712	73	12.64	16.97	yes	OK:Paris. The city is located on the River 	-
bnd_fp16_off_rs_080	0.80	fp16	off	rs	fail_closed	4608	OK	504640	109	18.77	3.06	yes	OK:Paris. The city is located on the River 	-
bnd_fp16_off_rs_085	0.85	fp16	off	rs	fail_closed	4608	BOOT_FAIL	0	0	-	-	-	-	cuda_oom
bnd_int8_on_rs_075	0.75	int8	on	rs	fail_closed	4608	OK	276416	59	5.46	24.43	yes	OK:Paris. The city is located on the River 	-
bnd_int8_on_rs_080	0.80	int8	on	rs	fail_closed	4608	OK	410560	89	8.11	14.15	yes	OK:Paris. The city is located on the River 	-
bnd_int8_on_rs_085	0.85	int8	on	rs	fail_closed	4608	OK	544704	118	10.76	3.72	yes	OK:Paris. The city is located on the River 	-
bnd_int8_on_rs_090	0.90	int8	on	rs	fail_closed	4608	BOOT_FAIL	0	0	-	-	-	-	cuda_oom
bnd_int8_off_rs_075	0.75	int8	off	rs	fail_closed	4608	OK	339712	73	6.71	22.87	yes	OK:Paris. The city is located on the River 	-
bnd_int8_off_rs_090	0.90	int8	off	rs	fail_closed	4608	BOOT_FAIL	0	0	-	-	-	-	cuda_oom
bnd_tf_on_rs_075	0.75	tf	on	rs	fail_closed	4608	OK	276416	59	0.30	29.64	yes	OK:Paris. The city is located on the River 	-
bnd_tf_on_rs_080	0.80	tf	on	rs	fail_closed	4608	OK	410560	89	0.30	22.02	yes	OK:Paris. The city is located on the River 	-
bnd_tf_on_rs_085	0.85	tf	on	rs	fail_closed	4608	OK	544704	118	0.30	14.25	yes	OK:Paris. The city is located on the River 	-
bnd_tf_on_rs_090	0.90	tf	on	rs	fail_closed	4608	OK	678848	147	0.30	6.63	yes	OK:Paris. The city is located on the River 	-
bnd_tf_on_rs_095	0.95	tf	on	rs	fail_closed	4608	OK	813056	176	0.30	1.14	yes	OK:Paris. The city is located on the River 	-
bnd_tf_off_rs_075	0.75	tf	off	rs	fail_closed	4608	OK	339712	73	0.30	29.33	yes	OK:Paris. The city is located on the River 	-
bnd_tf_off_rs_095	0.95	tf	off	rs	fail_closed	4608	BOOT_FAIL	0	0	-	-	-	-	other:Failed to CUDA calloc 10485760 bytes
bnd_tf_on_rs_096	0.96	tf	on	rs	fail_closed	4608	BOOT_FAIL	0	0	-	-	-	-	graph_capture_oom
